what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363310335384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363310340554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363310343092
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363310347613
executed,command,,,"bndtools.launch.junitShortcut.run",1363310359984
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363310367771
activated,editor,bndtools.core,2.0.0.REL-20130207-2219-200REL,"bndtools.bndProjectEditor",1363310380184
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363310396839
executed,command,,,"bndtools.launch.junitShortcut.run",1363310400475
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363310408306
activated,editor,bndtools.core,2.0.0.REL-20130207-2219-200REL,"bndtools.bndProjectEditor",1363310412358
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363310422483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363310436473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363310437513
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363310554616
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363310558032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363310563161
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363311878788
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1363311886378
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363311887543
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363311889123
executed,command,,,"bndtools.launch.junitShortcut.run",1363311893154
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1363311911191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363311923255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363312287138
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363312288598
activated,editor,bndtools.core,2.0.0.REL-20130207-2219-200REL,"bndtools.bndProjectEditor",1363312296707
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363312310015
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363312315665
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363312355559
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363312359347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363312365867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363312376889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363312394701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363312416654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363312424243
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363312427920
executed,command,,,"bndtools.launch.junitShortcut.run",1363312431743
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1363312435256
