what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363708770791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363708781045
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363708793938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363708959776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709027214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709030373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709303849
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363709334783
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363709365753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709369269
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709369563
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363709372416
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363709374154
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363709379358
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363709381230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709382404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709382618
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363709387922
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363709393166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363709411990
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363709418415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363709421393
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363709422712
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709470662
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709502273
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363709506712
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709509076
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709511904
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709524572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709595604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363709726795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710060478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710062388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710146071
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363710161694
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363710194560
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363710211231
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363710213638
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363710226757
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363710230217
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363710232746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710239890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710262878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363710268954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1363710284562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363710287317
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363710288320
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363710290341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710291547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710314028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710341184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710345266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710345648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710358874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710372449
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710419085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363710436045
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710445508
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710483275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363710494349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710494886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710495412
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710496809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710519910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710534771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710535676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710539224
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710643546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363710651316
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363710661536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710681370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710682900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710684456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710688180
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363710690464
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363710740863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710743618
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710758883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710759840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710760153
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710760360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710764669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710766515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710775189
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363710777958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710795502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710798167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710798530
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710809136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710809679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710815232
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363710829137
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363710831331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710847431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710859181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710870339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710927061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710930632
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363710951760
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363710958227
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363710979930
