what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1363650624727
error,log,,,"Provisioning exception",1363650627846
error,log,,,"Provisioning exception",1363650632409
error,log,,,"Provisioning exception",1363650632414
error,log,,,"Provisioning exception",1363650632414
error,log,,,"Provisioning exception",1363650632415
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363650632514
error,log,,,"Provisioning exception",1363650634967
error,log,,,"Provisioning exception",1363650634971
error,log,,,"Provisioning exception",1363650637872
error,log,,,"Provisioning exception",1363650645828
error,log,,,"Provisioning exception",1363650645832
error,log,,,"Some sites could not be found.  See the error log for more detail.",1363650648367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363650670122
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1363650670162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363650670836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363650884202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363650890463
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363650917173
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363650917203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363650917418
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1363650917475
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363650943569
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363650943570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363650944044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363652837649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363652844202
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363652848043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363652848198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363652869093
error,log,,,"Query failed to complete",1363653172211
error,log,,,"Query failed to complete",1363653177700
error,log,,,"Unexpected exception: Stream closed",1363653274209
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363653656433
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363653656464
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363653656671
