what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363300920672
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363300924795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363300925925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363300926225
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363300929331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363300977403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363300979702
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363300980655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363301001567
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363301014163
activated,editor,bndtools.core,2.0.0.REL-20130207-2219-200REL,"bndtools.bndProjectEditor",1363301031379
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363301077994
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363301097303
closed,editor,bndtools.core,2.0.0.REL-20130207-2219-200REL,"bndtools.bndProjectEditor",1363301097303
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363301178079
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363301183653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363301207745
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363301210886
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363301216061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363301217285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363301217625
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363301220480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363301227085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363301316416
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363301319852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363301321305
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363301331962
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363301334945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363301883148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363301883512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363301894991
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363301900925
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1363301901199
executed,command,,,"bndtools.launch.junitShortcut.run",1363301906685
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363301930313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363301932307
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363301944020
activated,editor,bndtools.core,2.0.0.REL-20130207-2219-200REL,"bndtools.bndProjectEditor",1363301946413
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363301954821
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363301963987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363301964385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363301965040
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363301970091
opened,editor,bndtools.core,2.0.0.REL-20130207-2219-200REL,"bndtools.bndProjectEditor",1363301970719
activated,editor,bndtools.core,2.0.0.REL-20130207-2219-200REL,"bndtools.bndProjectEditor",1363301970758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363301979534
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363301980763
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363301998377
opened,editor,bndtools.core,2.0.0.REL-20130207-2219-200REL,"bndtools.bndProjectEditor",1363302001383
activated,editor,bndtools.core,2.0.0.REL-20130207-2219-200REL,"bndtools.bndProjectEditor",1363302001419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363302008127
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363302018946
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1363302019262
error,log,,,"Errors occurred during the build.",1363302019424
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363302019554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363302035392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363302037782
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363302038145
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363302038468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363302038809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363302039123
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363302039436
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363302039724
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363302040171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363302040710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363302041636
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363302046280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363302049290
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1363302049439
error,log,,,"Errors occurred during the build.",1363302049466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363302049495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363302052763
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363302056809
activated,editor,bndtools.core,2.0.0.REL-20130207-2219-200REL,"bndtools.bndProjectEditor",1363302060670
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363302066158
executed,command,,,"bndtools.launch.junitShortcut.run",1363302072481
activated,editor,bndtools.core,2.0.0.REL-20130207-2219-200REL,"bndtools.bndProjectEditor",1363302082197
activated,editor,bndtools.core,2.0.0.REL-20130207-2219-200REL,"bndtools.bndProjectEditor",1363302082317
